Time,Latitude,Longitude,counts,Temperature,Humidity,Pressure,Altitude,VOC,PM1,PM25,PM10
1712963966.21,0,0,34.5,21.08615234375,36.436879302280616,997.4560798000592,132.33288025041412,217764.0,1.0,1.0,1.0
1712963968.07,0,0,34.5,20.828242187500003,39.1826814723395,997.4680723328377,132.23175666187305,82858.0,1.0,1.0,1.0
1712963970.12,0,0,36.5,20.7001171875,39.0361775708182,997.4912409417136,132.036396404831,100712.0,0.5,1.0,1.0
1712963972.08,0,0,41.5,20.65255859375,38.834310114573654,997.5028326845804,131.93865492670915,117579.0,0.5,1.0,1.0
1712963974.11,0,0,40.5,20.636347656250003,38.6474593606265,997.5032534210961,131.93510729990652,132391.5,0.0,1.0,1.0
1712963976.08,0,0,34.5,20.6376171875,38.468369636211236,997.5017955527529,131.94739996688162,143451.0,0.0,1.0,1.0
1712963978.1,0,0,34.5,20.641328125,38.33590963474866,997.4851820256769,132.0874854137159,151953.0,0.0,1.0,1.0
1712963980.09,0,0,34.5,20.642890625,38.246613263002004,997.4738247304526,132.18325133985627,159662.5,0.0,1.0,1.0
1712963982.12,0,0,35.5,20.61583984375,38.1458615290919,997.4572084834126,132.323362949885,167384.5,0.0,0.0,0.0
1712963984.1,0,0,37.0,20.578828125,38.08452938203857,997.4396092100559,132.47176570863013,173404.5,0.0,0.0,0.0
1712963986.1,0,0,31.5,20.5352734375,38.04274271807259,997.422943244974,132.6123003018944,177405.0,0.0,0.0,0.0
1712963988.14,0,0,31.5,20.48185546875,38.01151379405127,997.4140705461593,132.687119540668,189132.0,0.0,0.5,0.5
1712963990.08,0,0,29.5,20.40568359375,37.975161865033996,997.4160202857008,132.67067826662958,193344.0,0.0,0.5,0.5
1712963992.11,0,0,25.0,20.332734375,37.97080870569579,997.4126564568608,132.69904395373243,197194.5,0.0,0.0,0.0
1712963994.09,0,0,35.0,20.27677734375,37.99116970973428,997.4049254428435,132.7642364157127,199235.0,0.0,0.0,0.0
1712963996.12,0,0,35.0,20.233906249999997,38.00995025848681,997.4091302480346,132.72877899919854,201494.5,0.0,0.5,0.5
1712963998.09,0,0,37.5,20.19767578125,38.049543678864495,997.4185923039779,132.64898965027845,202736.5,0.0,0.5,0.5
1712964000.11,0,0,31.5,20.16896484375,38.072611287464866,997.4295200770314,132.55684138757994,203212.0,0.0,1.0,1.0
1712964002.09,0,0,38.0,20.1434765625,38.11616131779055,997.4360222020467,132.50201268572636,205071.0,0.0,1.0,1.0
1712964004.11,0,0,36.0,20.12580078125,38.16914007175973,997.4384173646106,132.4818156972165,206602.5,0.0,1.0,1.0
1712964006.07,0,0,36.0,20.10578125,38.216136966530556,997.4466136267206,132.4127018627642,207341.0,0.0,1.0,1.0
1712964008.11,0,0,36.5,20.0903515625,38.269368084925105,997.4542631371263,132.3481988495173,208150.0,0.0,1.0,1.0
1712964010.06,0,0,34.5,20.0903515625,38.269368084925105,997.4542631371263,132.3481988495173,208150.0,0.0,1.0,1.0
1712964012.11,0,0,32.0,20.07765625,38.31712035426558,997.4515481018518,132.37109281032252,208527.0,0.0,1.0,1.0
1712964014.09,0,0,29.0,20.06525390625,38.359146015232724,997.4458431106686,132.4191991093915,209345.5,0.0,1.0,1.0
1712964016.1,0,0,29.0,20.05412109375,38.39265236908702,997.4473095271553,132.40683379855219,210170.0,0.0,1.0,1.0
1712964018.09,0,0,42.5,20.0473828125,38.4323750704,997.4392991988179,132.47437972653842,209915.5,0.0,1.0,1.0
1712964020.11,0,0,33.0,20.047578125,38.49012000175691,997.4327061981057,132.52997457463408,211001.5,0.0,1.0,1.0
1712964022.09,0,0,29.5,20.04904296875,38.51913708228914,997.4332850275315,132.52509363842512,210877.0,0.0,1.0,1.0
1712964024.1,0,0,29.5,20.04748046875,38.55363307569043,997.442040367242,132.4512651715546,211581.5,0.0,1.0,1.0
